Financial Year,Date,Supplier,Amount,Category,Description,Compliance Notes,Transaction ID
FY2024-25,2025-01-13,Le Do Flinders View,18,Entertainment,Cake - Robert's birthday,"Need to determine if the cake was provided to employees or clients. If provided to employees, FBT may apply. If provided to clients, deduction may be limited under entertainment rules. Ensure adequate",44382e71-66a9-4ed5-81f0-91cf02c1c0e4
FY2025-26,2025-10-13,7 Eleven,91.16,General Expenses,,Receipt required to substantiate the expense.; Potential FBT implications if the purchase was for an employee's personal use. Requires further investigation into the nature of the purchase.,4c07e878-b5d6-4533-b54b-5d2e71457409
FY2024-25,2025-01-23,Kmart,1230.85,Employee Benefits,Gift card - Vin?,"Need to determine the purpose of the gift card. If provided to employees, FBT may apply. If provided to clients, entertainment limitations may apply to the deduction. Substantiation is required to sup",91edd18f-6855-4a4c-883d-b9429a388935
FY2025-26,2025-07-28,AirBNB,381.99,Travel,Phill?,"Determine the purpose of the AirBNB stay. If for business, determine if any private use component exists. If for an employee, FBT implications need to be considered. If for a shareholder, Division 7A ",83a7d01b-3e9a-4414-9afb-34e87dda8773
FY2024-25,2025-01-16,Cold Rock,43,Entertainment,Phill and Bron,Entertainment expenses require scrutiny to determine deductibility. May be subject to FBT if provided to employees.,4277835f-9c55-46fb-b034-7b62b23e6582
FY2023-24,2023-11-13,AJ Grant Restorations Pty Ltd,683.54,Professional Services,SC2 - Travel Expense where we attend further than 50km from base @ $1.12/km,Ensure adequate documentation for travel expenses (logbook or other evidence).; Living away from home allowance may have FBT implications. Review employee circumstances.; Verify that the PPE is for bu,a011af55-9030-4e57-8fe7-b27c37ca12cf
FY2024-25,2025-01-14,House of Brews,78.55,Entertainment,Phill?,Entertainment expenses require careful scrutiny to determine deductibility. May be subject to FBT if provided to employees.,9c231d80-1f3a-44d7-900d-119ddd5006c0
FY2024-25,2024-07-09,Holiday Inn Express,80.5,Travel,Directors personal,Expense appears to be personal in nature and may be subject to FBT or Division 7A implications if not properly substantiated and treated as a director's benefit.,cdfa2449-8012-4e35-975f-ed731f1ae9c5
FY2024-25,2024-07-24,Govassist,142.91,Travel,Visa fee I think for Bron and Tenikka,"Confirm the purpose of travel and whether it is wholly for business purposes.; If the travel is for personal reasons, a portion of the visa fee may not be deductible.; FBT may apply if the travel is c",2fadbf0d-9e9a-4d8a-bfa4-73ea507caffc
FY2024-25,2024-07-26,Market Bistro Maroochydore,110.32,Entertainment,Bron,Requires documentation to determine if the expense is subject to the entertainment limitations under Section 32-5 of the ITAA 1997. FBT implications should be considered if the meal was provided to an,8ea5d471-2328-4d7e-b7f8-cf4f853854ff
FY2023-24,2023-07-25,Caltex,95.01,Travel,Fuel for Jade's car for going to Litmas Lab,"Need to determine the business use percentage of the vehicle. If Jade is an employee, FBT may apply if the travel is considered private. Maintain detailed logbook to substantiate business use.",0e0092cb-00f0-446f-bc03-ef1e9c562f1c
FY2023-24,2023-07-24,Tile Street Snack Bar,44.5,Staff Amenities,Staff Meeting,Need to determine if the expense is considered entertainment and if it is subject to the 50% deductibility rule. FBT implications need to be considered if the expense is considered a fringe benefit.,279d0238-46e2-4ba3-9a71-7ee3ead04d19
FY2024-25,2025-02-07,Woolworths,407.95,Employee Benefits,Gift cards,"Need to determine the purpose of the gift cards. If provided to employees, FBT may apply. If provided to clients, entertainment limitations may apply. Substantiation is required to support the deducti",14904ca8-575f-40bc-ae8f-22428405673f
FY2024-25,2025-04-07,Le Do Flinders View,38,Entertainment,Cake - Vannesa's birthday,Entertainment expenses require scrutiny to determine deductibility. May be subject to FBT if provided to employees. Need to determine if it is considered 'minor and infrequent' to be exempt from FBT.,f9c8a0ba-fd28-49de-a5e3-ed86e33998d8
FY2023-24,2023-12-13,Tenikka Pesic,17.29,Staff Amenities,Staff Amenities for Seth's Farewell,Requires receipt for substantiation.; Potential FBT implications if the amenities are considered a fringe benefit. Needs further investigation into who benefited from the amenities.; Entertainment exp,56419c6f-872c-4a9d-81ee-cfa2f0c3b547
FY2024-25,2024-08-29,St George - Loan Ford Ranger 645BS6,970.72,Finance,Monthly payment,Maintain loan documentation.; Determine the business use percentage of the Ford Ranger to calculate the deductible portion of the loan repayment. The remaining portion is non-deductible due to private,7c4b47fb-6db4-47e4-aded-f8ca735566f3
FY2024-25,2024-08-02,Donut King,17,Staff Amenities,Donuts for Staff,Entertainment expenses require scrutiny. FBT may apply if the provision of donuts is considered a fringe benefit. Need to determine if it falls under minor and infrequent benefit exemption.,f38dabe3-ef66-444e-a1fe-5cb91c9dcb0a
FY2024-25,2024-08-01,Woolworths,507.95,Employee Benefits,Gift card Bron,"Determine if the gift card was provided to employees. If so, FBT may apply. If provided to clients, deduction may be limited due to entertainment rules. Need to determine the purpose of the gift card ",b79d878a-a967-4320-88ae-0bfc6f5215dd
FY2024-25,2024-08-01,Woolworths,507.95,Employee Benefits,Gift Card - Ben,"Determine if FBT applies. If the gift card is provided to an employee, it may be subject to FBT. The deductibility of the expense is contingent on whether FBT is paid or if it falls under a minor bene",0893ba30-cfd5-4616-939f-9a091123e772
